Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
980000,1.4110712,-0.2697017,657.4,-1.400333575407664,-1.400333575407664,1.0
990000,1.410716,-0.25824553,606.6470588235294,-1.0730590574881609,-1.0730590574881609,1.0
1000000,1.4093091,-0.20388705,685.2666666666667,-1.8667336106300354,-1.8667336106300354,1.0
1010000,1.4092839,-0.1345631,599.1052631578947,-0.9863685557716771,-0.9863685557716771,1.0
1020000,1.4094023,-0.260134,747.1818181818181,-2.4823639501224863,-2.4823639501224863,1.0
1030000,1.4095076,-0.17835371,622.7333333333333,-0.952071705034801,-0.952071705034801,1.0
1040000,1.4103757,-0.2425895,869.7142857142857,-3.8939337054888408,-3.8939337054888408,1.0
1050000,1.4103498,-0.17842944,606.6875,-0.9342501983046532,-0.9342501983046532,1.0
1060000,1.409815,-0.24823031,774.3076923076923,-2.4443079829216003,-2.4443079829216003,1.0
1070000,1.4097054,-0.25824603,704.6153846153846,-2.5084548484195364,-2.5084548484195364,1.0
1080000,1.4079913,-0.18707089,765.1666666666666,-2.3798574464661733,-2.3798574464661733,1.0
1090000,1.4080307,-0.122286424,594.35,-0.5966471994624418,-0.5966471994624418,1.0
1100000,1.4092581,-0.2315746,832.1666666666666,-2.563714555331639,-2.563714555331639,1.0
1110000,1.4092581,-0.22235526,701.1538461538462,-2.024000149506789,-2.024000149506789,1.0
1120000,1.4090426,-0.23934244,640.875,-1.5624707867117489,-1.5624707867117489,1.0
1130000,1.4089749,-0.27451944,761.5,-2.586166853706042,-2.586166853706042,1.0
1140000,1.4080064,-0.18397133,623.75,-0.6928127072751522,-0.6928127072751522,1.0
1150000,1.4077723,-0.23858003,726.0,-2.242428788117,-2.242428788117,1.0
1160000,1.4071507,-0.1740056,638.4375,-1.3833751566708088,-1.3833751566708088,1.0
1170000,1.4069422,-0.2439326,743.0,-2.2930003037819495,-2.2930003037819495,1.0
1180000,1.4056424,-0.21311627,727.8461538461538,-2.2423080022518453,-2.2423080022518453,1.0
1190000,1.4050833,-0.20295371,747.0666666666667,-2.4520668546358744,-2.4520668546358744,1.0
1200000,1.4050103,-0.28881782,965.0909090909091,-4.482091264291243,-4.482091264291243,1.0
1210000,1.4050103,-0.22062738,612.2307692307693,-0.41592331116016096,-0.41592331116016096,1.0
1220000,1.4045943,-0.24540076,733.2666666666667,-1.7600002487500508,-1.7600002487500508,1.0
1230000,1.4043177,-0.18516529,635.1176470588235,-0.9026472708758186,-0.9026472708758186,1.0
1240000,1.4044384,-0.2788627,909.9090909090909,-4.182273019443858,-4.182273019443858,1.0
1250000,1.404535,-0.17862508,643.7142857142857,-1.1398573432649886,-1.1398573432649886,1.0
1260000,1.4048307,-0.22091456,726.2142857142857,-2.2677859578813826,-2.2677859578813826,1.0
1270000,1.4051069,-0.20673977,757.6923076923077,-2.009384898039011,-2.009384898039011,1.0
1280000,1.4053357,-0.25036797,744.5384615384615,-1.8138463680560772,-1.8138463680560772,1.0
1290000,1.4055996,-0.23115134,751.25,-1.7027502010265987,-1.7027502010265987,1.0
1300000,1.405013,-0.20616361,752.1428571428571,-2.101643111024584,-2.101643111024584,1.0
1310000,1.4040426,-0.17946295,710.0714285714286,-1.474071660212108,-1.474071660212108,1.0
1320000,1.4030467,-0.07889383,420.5357142857143,1.432392758982522,1.432392758982522,1.0
1330000,1.4009209,-0.1542995,510.3333333333333,0.7407776415348053,0.7407776415348053,1.0
1340000,1.4006737,-0.15387863,615.125,-0.6428127139806747,-0.6428127139806747,1.0
1350000,1.4001554,-0.1498307,627.1176470588235,-1.222294337609235,-1.222294337609235,1.0
1360000,1.3999981,-0.23399293,677.3846153846154,-1.6427694650796743,-1.6427694650796743,1.0
1370000,1.3994362,-0.2352732,743.7692307692307,-2.2790772227140574,-2.2790772227140574,1.0
1380000,1.3994812,-0.23149404,681.0,-1.4097337007522583,-1.4097337007522583,1.0
1390000,1.3998419,-0.27016136,840.8333333333334,-3.6600837061802545,-3.6600837061802545,1.0
1400000,1.3998177,-0.31827208,755.5384615384615,-2.6862860236849104,-2.6862860236849104,1.0
1410000,1.3996137,-0.3021486,725.1333333333333,-2.1312002976735434,-2.1312002976735434,1.0
1420000,1.3995903,-0.26341936,571.5625,-0.5168751813471317,-0.5168751813471317,1.0
1430000,1.3993835,-0.1820471,512.0,0.08087484911084175,0.08087484911084175,1.0
1440000,1.3993671,-0.20271432,661.8333333333334,-0.4708891544077132,-0.4708891544077132,1.0
1450000,1.3989127,-0.10720806,529.1,-0.212700155377388,-0.212700155377388,1.0
1460000,1.39892,-0.27054513,667.1333333333333,-1.1474377810955048,-1.1474377810955048,1.0
1470000,1.3994604,-0.21310377,711.6666666666666,-1.983833521604538,-1.983833521604538,1.0
1480000,1.3994604,-0.11092704,651.0,-0.8324667612711588,-0.8324667612711588,1.0
1490000,1.399158,-0.16206232,725.8333333333334,-1.4576155772575965,-1.4576155772575965,1.0
1500000,1.3990824,-0.1883543,885.0833333333334,-3.6007502575715384,-3.6007502575715384,1.0
1510000,1.3978919,-0.18512619,738.1538461538462,-1.7750002237466664,-1.7750002237466664,1.0
1520000,1.3976719,-0.23043218,932.75,-3.737000259486112,-3.737000259486112,1.0
1530000,1.3965702,-0.11549083,727.2142857142857,-2.1037335912386577,-2.1037335912386577,1.0
1540000,1.3963095,-0.15741673,749.6428571428571,-2.332643134253366,-2.332643134253366,1.0
1550000,1.3969675,-0.14374593,417.95454545454544,1.303136251189492,1.303136251189492,1.0
1560000,1.3971888,-0.29543146,817.5,-2.8647503008445105,-2.8647503008445105,1.0
1570000,1.3978684,-0.23495685,459.40909090909093,0.6238180263475939,0.6238180263475939,1.0
1580000,1.3980852,-0.18893264,602.5,-0.5523531717412612,-0.5523531717412612,1.0
1590000,1.3980412,-0.14866437,506.52941176470586,0.27568403984370987,0.27568403984370987,1.0
1600000,1.3980272,-0.042826924,444.40909090909093,0.9114544147794897,0.9114544147794897,1.0
1610000,1.3973476,-0.2889475,856.1,-3.3659003138542176,-3.3659003138542176,1.0
1620000,1.396834,-0.24482137,638.0,-0.8982780112160577,-0.8982780112160577,1.0
1630000,1.3967144,-0.22038496,680.2666666666667,-1.962875247001648,-1.962875247001648,1.0
1640000,1.396644,-0.08334917,553.6,0.19779976606369018,0.19779976606369018,1.0
1650000,1.3967314,0.0660573,373.35483870967744,1.6700966973458566,1.6700966973458566,1.0
1660000,1.3968003,-0.14178745,658.2,-1.3211334983507792,-1.3211334983507792,1.0
1670000,1.397086,-0.046521395,473.2857142857143,0.4810499042272568,0.4810499042272568,1.0
1680000,1.397405,-0.15224151,491.2352941176471,0.7111665738953484,0.7111665738953484,1.0
1690000,1.3972582,-0.17682254,693.9333333333333,-1.892133621374766,-1.892133621374766,1.0
1700000,1.3970413,-0.10568216,618.5,-0.9229376949369907,-0.9229376949369907,1.0
1710000,1.3974049,-0.18577605,712.8666666666667,-2.0004669229189553,-2.0004669229189553,1.0
1720000,1.398049,-0.07458137,553.0588235294117,-0.1750589784453897,-0.1750589784453897,1.0
1730000,1.3977332,-0.20886014,648.8,-1.2675334850947062,-1.2675334850947062,1.0
1740000,1.3968824,-0.18927026,693.0,-1.7891431748867035,-1.7891431748867035,1.0
1750000,1.3965687,-0.18570125,556.9,-0.15010552029860647,-0.15010552029860647,1.0
1760000,1.3956546,-0.23500186,575.4444444444445,-1.066842417967947,-1.066842417967947,1.0
