Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
800000,1.3845342,0.13284089,580.7222222222222,0.13972205917040506,0.13972205917040506,1.0
810000,1.383096,0.063825,603.5625,-0.5380626916885376,-0.5380626916885376,1.0
820000,1.3829195,-0.082567655,606.4117647058823,-0.6882354652180391,-0.6882354652180391,1.0
830000,1.3804755,0.22567983,628.8,-0.8330002744992574,-0.8330002744992574,1.0
840000,1.3799994,0.0898563,590.1176470588235,-0.01329424451379215,-0.01329424451379215,1.0
850000,1.3790015,-0.0023272352,525.8947368421053,0.5109472902197587,0.5109472902197587,1.0
860000,1.3786982,-0.09381853,618.0,-0.6275627166032791,-0.6275627166032791,1.0
870000,1.3783872,0.075354286,555.8947368421053,-0.17484233881297864,-0.17484233881297864,1.0
880000,1.3782613,-0.09881121,713.2142857142857,-1.810857402426856,-1.810857402426856,1.0
890000,1.3785398,-0.15068614,770.5,-1.8325002044439316,-1.8325002044439316,1.0
900000,1.378683,-0.12121474,656.4375,-0.7880627550184727,-0.7880627550184727,1.0
910000,1.3780234,0.002613056,774.6923076923077,-1.5746156894243681,-1.5746156894243681,1.0
920000,1.3775785,-0.111137226,727.7142857142857,-1.9788573852607183,-1.9788573852607183,1.0
930000,1.3775574,0.07527174,668.4,-1.4291335066159567,-1.4291335066159567,1.0
940000,1.37754,-0.1829987,734.3846153846154,-2.145077164356525,-2.145077164356525,1.0
950000,1.3771235,-0.057919744,681.2,-1.4594002405802409,-1.4594002405802409,1.0
960000,1.3766619,-0.11511686,594.3529411764706,-0.6391766106381136,-0.6391766106381136,1.0
970000,1.3758974,-0.13959442,617.4,-0.8199335018793742,-0.8199335018793742,1.0
980000,1.3748667,-0.20370124,634.1764705882352,-0.559647311182583,-0.559647311182583,1.0
990000,1.3742983,-0.124149464,673.2,-1.4790716767311096,-1.4790716767311096,1.0
1000000,1.3733507,-0.16563126,545.3333333333334,0.252052482805754,0.252052482805754,1.0
1010000,1.3730373,-0.17277601,565.0,-0.2620001996264738,-0.2620001996264738,1.0
1020000,1.3723601,-0.0594036,545.6315789473684,0.3948945497211657,0.3948945497211657,1.0
1030000,1.3724312,-0.13542366,779.5384615384615,-2.1567502270142236,-2.1567502270142236,1.0
1040000,1.3726252,-0.20751263,681.0,-1.2626001874605814,-1.2626001874605814,1.0
1050000,1.3724284,-0.18046512,625.0,-0.7603127248585224,-0.7603127248585224,1.0
1060000,1.3716505,-0.08942541,502.5,0.46499985456466675,0.46499985456466675,1.0
1070000,1.3715541,-0.1690556,571.9444444444445,-0.3942223820421431,-0.3942223820421431,1.0
1080000,1.3710614,-0.030236864,578.6875,-0.10212518647313118,-0.10212518647313118,1.0
1090000,1.3710089,0.11821652,489.27272727272725,0.7907141191618783,0.7907141191618783,1.0
1100000,1.3705246,0.08999744,544.7647058823529,0.6892776787281036,0.6892776787281036,1.0
1110000,1.3705372,-0.058553476,657.9375,-0.8168126828968525,-0.8168126828968525,1.0
1120000,1.3708107,0.17404658,468.8095238095238,0.9699998781794593,0.9699998781794593,1.0
1130000,1.3708112,-0.018090019,538.8333333333334,0.055055429538091026,0.055055429538091026,1.0
1140000,1.3704507,0.20359954,454.30434782608694,0.7259128871171371,0.7259128871171371,1.0
1150000,1.3704507,-0.12728529,554.1666666666666,-0.019111242559221055,-0.019111242559221055,1.0
1160000,1.3698856,0.21635258,655.5714285714286,-0.807857368673597,-0.807857368673597,1.0
1170000,1.369852,0.16808006,486.72727272727275,0.4929089844226837,0.4929089844226837,1.0
1180000,1.3707786,0.11759167,483.9047619047619,0.6789498805999756,0.6789498805999756,1.0
1190000,1.3708991,0.32530788,461.85,0.5824760964938572,0.5824760964938572,1.0
1200000,1.3711023,0.29076156,599.1764705882352,-0.6935885443406946,-0.6935885443406946,1.0
1210000,1.3711451,0.056755997,534.3333333333334,-0.2230557401974996,-0.2230557401974996,1.0
1220000,1.3695334,0.17118798,369.85185185185185,1.6243702592673126,1.6243702592673126,1.0
1230000,1.3690453,-0.037430752,591.7058823529412,-0.6762943337945377,-0.6762943337945377,1.0
1240000,1.3687994,0.1613956,412.6923076923077,1.344230674780332,1.344230674780332,1.0
1250000,1.3687044,0.24672896,441.22727272727275,0.9557271328839388,0.9557271328839388,1.0
1260000,1.3681145,0.14478621,545.3157894736842,-0.15694456299146017,-0.15694456299146017,1.0
1270000,1.3678092,0.020063613,468.0952380952381,0.2170452746477994,0.2170452746477994,1.0
