Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2430000,1.3477286,245.28571428571428,0.7927235,3.0787499894698462,3.0787499894698462,1.0
2440000,1.3483659,315.15625,0.5821842,2.481468677520752,2.481468677520752,1.0
2450000,1.348449,364.37931034482756,0.30663663,2.03674992280347,2.03674992280347,1.0
2460000,1.3486018,277.03125,0.6069998,2.5923332897099582,2.5923332897099582,1.0
2470000,1.3486197,288.70588235294116,0.8118473,2.818382301751305,2.818382301751305,1.0
2480000,1.3477029,353.5925925925926,0.5076925,2.1171110139952765,2.1171110139952765,1.0
2490000,1.3474177,425.4166666666667,0.18592452,1.196999949713548,1.196999949713548,1.0
2500000,1.3473629,324.89285714285717,0.5034644,2.2949641730104173,2.2949641730104173,1.0
2510000,1.3473568,510.1,-0.01482314,0.18724976480007172,0.18724976480007172,1.0
2520000,1.3476276,402.77777777777777,0.36397827,1.496555436540533,1.496555436540533,1.0
2530000,1.3477548,265.275,0.70590574,2.791524939239025,2.791524939239025,1.0
2540000,1.3478061,332.9642857142857,0.32605672,2.0779998919793536,2.0779998919793536,1.0
2550000,1.3478278,401.69565217391306,0.04490415,1.5289998135783456,1.5289998135783456,1.0
2560000,1.3473219,383.60714285714283,0.056439094,1.1130712905100413,1.1130712905100413,1.0
2570000,1.3468933,327.3,0.7093122,2.4350644657688756,2.4350644657688756,1.0
2580000,1.3461896,274.7368421052632,0.7484578,2.833131558016727,2.833131558016727,1.0
2590000,1.3455489,341.44,0.35485128,2.0867599391937257,2.0867599391937257,1.0
2600000,1.3450708,451.90909090909093,0.24143264,0.9148635078560222,0.9148635078560222,1.0
2610000,1.3444691,318.93548387096774,0.61036235,2.2706128051204066,2.2706128051204066,1.0
2620000,1.3442373,341.1333333333333,0.5420637,2.122433241208394,2.122433241208394,1.0
2630000,1.3438852,471.81481481481484,0.32931805,0.444884527188081,0.444884527188081,1.0
2640000,1.3435367,302.5483870967742,0.56480795,2.658354784211805,2.658354784211805,1.0
2650000,1.3428401,373.8695652173913,0.45170093,1.6542398953437805,1.6542398953437805,1.0
2660000,1.342212,382.5925925925926,0.31271628,1.598555443463502,1.598555443463502,1.0
2670000,1.3405901,532.578947368421,0.18832193,-0.04073698583402132,-0.04073698583402132,1.0
2680000,1.3403457,243.02564102564102,0.7891969,3.0118460808044825,3.0118460808044825,1.0
2690000,1.3395274,345.5925925925926,0.4237944,1.9713332255681355,1.9713332255681355,1.0
2700000,1.3395325,428.95652173913044,0.19102691,1.1091303255247034,1.1091303255247034,1.0
2710000,1.3396113,282.825,0.7164945,2.6533588767051697,2.6533588767051697,1.0
2720000,1.339549,372.5357142857143,0.48381466,1.8044481976278897,1.8044481976278897,1.0
